Change Physical Footprint: Designator=TP18 Old Footprint=TP_PLATE New Footprint=TP_PLATE
Change Physical Footprint: Designator=TP19 Old Footprint=TP_HOOK New Footprint=TP_HOOK
Change Physical Footprint: Designator=TP20 Old Footprint=TP_HOOK New Footprint=TP_HOOK
Change Physical Footprint: Designator=TP21 Old Footprint=TP_HOOK New Footprint=TP_HOOK
Change Physical Footprint: Designator=TP22 Old Footprint=TP_HOOK New Footprint=TP_HOOK
Change Physical Footprint: Designator=TP23 Old Footprint=TP_HOOK New Footprint=TP_HOOK
Change Physical Footprint: Designator=TP24 Old Footprint=TP_HOOK New Footprint=TP_HOOK
Change Physical Footprint: Designator=TP25 Old Footprint=TP_HOOK New Footprint=TP_HOOK
Change Physical Footprint: Designator=TP26 Old Footprint=TP_HOOK New Footprint=TP_HOOK
Change Physical Footprint: Designator=TP27 Old Footprint=TP_HOOK New Footprint=TP_HOOK
Change Physical Footprint: Designator=TP28 Old Footprint=TP_HOOK New Footprint=TP_HOOK
Change Physical Footprint: Designator=TP29 Old Footprint=TP_HOOK New Footprint=TP_HOOK
Change Physical Footprint: Designator=TP30 Old Footprint=TP_HOOK New Footprint=TP_HOOK
Change Physical Footprint: Designator=TP31 Old Footprint=TP_HOOK New Footprint=TP_HOOK
Change Physical Footprint: Designator=TP32 Old Footprint=TP_HOOK New Footprint=TP_HOOK
Change Physical Footprint: Designator=TP33 Old Footprint=TP_HOOK New Footprint=TP_HOOK
Change Physical Footprint: Designator=U1 Old Footprint=DIP8 SSC Series New Footprint=DIP8 SSC Series
Change Physical Footprint: Designator=U2 Old Footprint=D0016A_M New Footprint=D0016A_M
Change Physical Footprint: Designator=U3 Old Footprint=ARDUINO_A000066 New Footprint=ARDUINO_A000066
Change Physical Footprint: Designator=U4 Old Footprint=FP-SOT162-1-MFG New Footprint=FP-SOT162-1-MFG
